--- objects not in streams ---
offset = 25 (0x19), indirect 11/0, dictionary
offset = 39 (0x27), direct, integer
offset = 43 (0x2b), direct, integer
offset = 51 (0x33), direct, integer
offset = 56 (0x38), direct, integer
offset = 64 (0x40), direct, integer
offset = 68 (0x44), direct, integer
offset = 76 (0x4c), direct, array
offset = 125 (0x7d), direct, dictionary
offset = 139 (0x8b), direct, dictionary
offset = 150 (0x96), direct, integer
offset = 162 (0xa2), direct, integer
offset = 173 (0xad), direct, name
offset = 188 (0xbc), direct, array
offset = 264 (0x108), direct, array
offset = 291 (0x123), direct, integer
offset = 299 (0x12b), direct, integer
offset = 322 (0x142), direct, integer
offset = 329 (0x149), direct, name
offset = 336 (0x150), direct, array
offset = 353 (0x161), indirect 22/0, stream
offset = 480 (0x1e0), direct, dictionary
offset = 489 (0x1e9), direct, name
offset = 504 (0x1f8), direct, integer
offset = 515 (0x203), direct, integer
offset = 520 (0x208), direct, integer
offset = 525 (0x20d), direct, integer
offset = 537 (0x219), indirect 30/0, stream
offset = 658 (0x292), indirect 12/0, dictionary
offset = 708 (0x2c4), direct, name
offset = 735 (0x2df), indirect 13/0, dictionary
offset = 775 (0x307), direct, array
offset = 797 (0x31d), direct, array
offset = 833 (0x341), direct, dictionary
offset = 840 (0x348), direct, dictionary
offset = 879 (0x36f), direct, integer
offset = 885 (0x375), direct, name
offset = 909 (0x38d), direct, dictionary
offset = 916 (0x394), direct, array
offset = 949 (0x3b5), direct, integer
offset = 960 (0x3c0), direct, dictionary
offset = 970 (0x3ca), direct, dictionary
offset = 995 (0x3e3), direct, name
offset = 1005 (0x3ed), direct, name
offset = 1023 (0x3ff), indirect 14/0, stream
offset = 1058 (0x422), direct, dictionary
offset = 1065 (0x429), direct, array
offset = 1097 (0x449), direct, name
offset = 1117 (0x45d), direct, integer
offset = 1129 (0x469), direct, dictionary
offset = 1139 (0x473), direct, dictionary
offset = 1173 (0x495), direct, name
offset = 1183 (0x49f), direct, name
offset = 1201 (0x4b1), indirect 15/0, stream
offset = 1265 (0x4f1), direct, dictionary
offset = 1272 (0x4f8), direct, array
offset = 1301 (0x515), direct, integer
offset = 1313 (0x521), direct, dictionary
offset = 1325 (0x52d), direct, name
offset = 1335 (0x537), direct, name
offset = 1353 (0x549), indirect 16/0, stream
offset = 1391 (0x56f), direct, dictionary
offset = 1398 (0x576), direct, array
offset = 1430 (0x596), direct, name
offset = 1450 (0x5aa), direct, integer
offset = 1463 (0x5b7), direct, dictionary
offset = 1470 (0x5be), direct, dictionary
offset = 1494 (0x5d6), direct, array
offset = 1515 (0x5eb), direct, name
offset = 1525 (0x5f5), direct, name
offset = 1543 (0x607), indirect 17/0, stream
offset = 2420 (0x974), direct, dictionary
offset = 2429 (0x97d), direct, name
offset = 2449 (0x991), direct, integer
offset = 2462 (0x99e), direct, name
offset = 2479 (0x9af), indirect 18/0, stream
offset = 57714 (0xe172), direct, dictionary
offset = 57723 (0xe17b), direct, name
offset = 57742 (0xe18e), direct, integer
offset = 57752 (0xe198), direct, integer
offset = 57759 (0xe19f), direct, integer
offset = 57765 (0xe1a5), direct, name
offset = 57782 (0xe1b6), indirect 19/0, stream
offset = 59421 (0xe81d), direct, dictionary
offset = 59431 (0xe827), direct, integer
offset = 59443 (0xe833), indirect 20/0, stream
offset = 59515 (0xe87b), indirect 21/0, dictionary
offset = 59527 (0xe887), direct, array
offset = 59599 (0xe8cf), direct, string
offset = 64094 (0xfa5e), direct, name
offset = 64110 (0xfa6e), direct, string
offset = 64140 (0xfa8c), direct, string
offset = 64161 (0xfaa1), direct, dictionary
offset = 64167 (0xfaa7), direct, dictionary
offset = 64174 (0xfaae), direct, name
offset = 64207 (0xfacf), direct, array
offset = 64216 (0xfad8), direct, integer
offset = 64227 (0xfae3), direct, string
offset = 64256 (0xfb00), direct, boolean
offset = 64269 (0xfb0d), direct, dictionary
offset = 64276 (0xfb14), direct, string
offset = 64303 (0xfb2f), direct, name
offset = 64320 (0xfb40), direct, integer
offset = 64329 (0xfb49), direct, integer
offset = 64339 (0xfb53), direct, dictionary
offset = 64346 (0xfb5a), direct, string
offset = 64384 (0xfb80), direct, boolean
offset = 64391 (0xfb87), direct, integer
offset = 64411 (0xfb9b), direct, name
offset = 64436 (0xfbb4), direct, name
offset = 64458 (0xfbca), direct, dictionary
offset = 64467 (0xfbd3), direct, name
offset = 64486 (0xfbe6), direct, integer
offset = 64496 (0xfbf0), direct, integer
offset = 64502 (0xfbf6), direct, integer
offset = 64508 (0xfbfc), direct, name
offset = 64525 (0xfc0d), indirect 1/0, stream
offset = 65185 (0xfea1), direct, dictionary
offset = 65195 (0xfeab), direct, integer
offset = 65207 (0xfeb7), direct, name
offset = 65216 (0xfec0), direct, name
offset = 65235 (0xfed3), indirect 2/0, stream
offset = 68250 (0x10a9a), direct, dictionary
offset = 68259 (0x10aa3), direct, name
offset = 68278 (0x10ab6), direct, integer
offset = 68287 (0x10abf), direct, integer
offset = 68292 (0x10ac4), direct, integer
offset = 68298 (0x10aca), direct, name
offset = 68315 (0x10adb), indirect 3/0, stream
offset = 68391 (0x10b27), direct, dictionary
offset = 68400 (0x10b30), direct, name
offset = 68419 (0x10b43), direct, integer
offset = 68428 (0x10b4c), direct, integer
offset = 68433 (0x10b51), direct, integer
offset = 68439 (0x10b57), direct, name
offset = 68456 (0x10b68), indirect 4/0, stream
offset = 68546 (0x10bc2), direct, dictionary
offset = 68560 (0x10bd0), direct, dictionary
offset = 68571 (0x10bdb), direct, integer
offset = 68583 (0x10be7), direct, integer
offset = 68594 (0x10bf2), direct, name
offset = 68609 (0x10c01), direct, array
offset = 68699 (0x10c5b), direct, integer
offset = 68719 (0x10c6f), direct, integer
offset = 68726 (0x10c76), direct, name
offset = 68733 (0x10c7d), direct, array
offset = 68750 (0x10c8e), indirect 5/0, stream
--- objects in stream 1 ---
offset = 15 (0xf), indirect 6/0, dictionary
offset = 26 (0x1a), direct, name
offset = 56 (0x38), direct, name
offset = 69 (0x45), direct, name
offset = 80 (0x50), direct, name
offset = 87 (0x57), indirect 7/0, dictionary
offset = 98 (0x62), direct, name
offset = 116 (0x74), direct, name
offset = 129 (0x81), direct, name
offset = 140 (0x8c), direct, name
offset = 147 (0x93), indirect 8/0, dictionary
offset = 161 (0xa1), direct, array
offset = 1311 (0x51f), direct, name
--- objects in stream 3 ---
offset = 4 (0x4), indirect 9/0, dictionary
offset = 13 (0xd), direct, integer
offset = 19 (0x13), direct, array
offset = 32 (0x20), direct, name
offset = 735 (0x2df), indirect 13/0, dictionary
offset = 775 (0x307), direct, array
offset = 797 (0x31d), direct, array
offset = 833 (0x341), direct, dictionary
offset = 840 (0x348), direct, dictionary
offset = 879 (0x36f), direct, integer
offset = 885 (0x375), direct, name
--- objects in stream 4 ---
offset = 5 (0x5), indirect 10/0, dictionary
offset = 20 (0x14), direct, string
offset = 53 (0x35), direct, string
--- objects in stream 19 ---
offset = 50 (0x32), indirect 23/0, dictionary
offset = 55 (0x37), direct, string
offset = 75 (0x4b), direct, dictionary
offset = 86 (0x56), direct, dictionary
offset = 116 (0x74), direct, dictionary
offset = 176 (0xb0), direct, array
offset = 194 (0xc2), direct, integer
offset = 197 (0xc5), indirect 24/0, array
offset = 205 (0xcd), indirect 25/0, dictionary
offset = 205 (0xcd), indirect 25/0, dictionary
offset = 205 (0xcd), indirect 25/0, dictionary
offset = 210 (0xd2), direct, dictionary
offset = 210 (0xd2), direct, dictionary
offset = 210 (0xd2), direct, dictionary
offset = 226 (0xe2), direct, string
offset = 226 (0xe2), direct, string
offset = 226 (0xe2), direct, string
offset = 263 (0x107), direct, integer
offset = 263 (0x107), direct, integer
offset = 263 (0x107), direct, integer
offset = 269 (0x10d), direct, name
offset = 269 (0x10d), direct, name
offset = 269 (0x10d), direct, name
offset = 276 (0x114), direct, dictionary
offset = 276 (0x114), direct, dictionary
offset = 276 (0x114), direct, dictionary
offset = 294 (0x126), direct, array
offset = 294 (0x126), direct, array
offset = 294 (0x126), direct, array
offset = 334 (0x14e), direct, name
offset = 334 (0x14e), direct, name
offset = 334 (0x14e), direct, name
offset = 343 (0x157), direct, string
offset = 343 (0x157), direct, string
offset = 343 (0x157), direct, string
offset = 360 (0x168), direct, name
offset = 360 (0x168), direct, name
offset = 360 (0x168), direct, name
offset = 377 (0x179), indirect 26/0, dictionary
offset = 388 (0x184), direct, name
offset = 415 (0x19f), direct, name
offset = 442 (0x1ba), direct, integer
offset = 475 (0x1db), direct, integer
offset = 486 (0x1e6), direct, name
offset = 497 (0x1f1), direct, name
offset = 509 (0x1fd), direct, array
offset = 1539 (0x603), indirect 27/0, dictionary
offset = 1549 (0x60d), direct, integer
offset = 1563 (0x61b), direct, integer
offset = 1574 (0x626), direct, string
offset = 3413 (0xd55), direct, integer
offset = 3424 (0xd60), direct, integer
offset = 3435 (0xd6b), direct, array
offset = 3466 (0xd8a), direct, string
offset = 3504 (0xdb0), direct, name
offset = 3534 (0xdce), direct, name
offset = 3553 (0xde1), direct, integer
offset = 3569 (0xdf1), direct, integer
offset = 3577 (0xdf9), direct, integer
offset = 3584 (0xe00), direct, name
offset = 3608 (0xe18), direct, integer
offset = 3613 (0xe1d), indirect 28/0, dictionary
offset = 3624 (0xe28), direct, name
offset = 3643 (0xe3b), direct, name
offset = 3664 (0xe50), direct, name
offset = 3675 (0xe5b), direct, name
offset = 3686 (0xe66), direct, name
offset = 3693 (0xe6d), indirect 29/0, array
succeeded
