--- BEGIN FILE ---
60: integer: 1
62: integer: 0
64: word: obj
68: dict_open: <<
73: name: /Type
79: name: /ObjStm
89: name: /Length
97: integer: 6020
104: name: /N
107: integer: 35
112: name: /First
119: integer: 323
123: dict_close: >>
126: word: stream
skipping to endstream
6153: word: endstream
6163: word: endobj
6222: integer: 37
6225: integer: 0
6227: word: obj
6231: dict_open: <<
6236: name: /Length
6244: integer: 38
6247: integer: 0
6249: word: R
6251: dict_close: >>
6254: word: stream
skipping to endstream
6305: word: endstream
6315: word: endobj
6323: integer: 38
6326: integer: 0
6328: word: obj
6332: integer: 44
6335: word: endobj
6394: integer: 39
6397: integer: 0
6399: word: obj
6403: dict_open: <<
6408: name: /Length
6416: integer: 40
6419: integer: 0
6421: word: R
6423: dict_close: >>
6426: word: stream
skipping to endstream
6832: word: endstream
6842: word: endobj
6850: integer: 40
6853: integer: 0
6855: word: obj
6859: integer: 399
6863: word: endobj
6922: integer: 41
6925: integer: 0
6927: word: obj
6931: dict_open: <<
6936: name: /Length
6944: integer: 42
6947: integer: 0
6949: word: R
6951: dict_close: >>
6954: word: stream
skipping to endstream
7001: word: endstream
7011: word: endobj
7019: integer: 42
7022: integer: 0
7024: word: obj
7028: integer: 40
7031: word: endobj
7090: integer: 43
7093: integer: 0
7095: word: obj
7099: dict_open: <<
7104: name: /Length
7112: integer: 44
7115: integer: 0
7117: word: R
7119: dict_close: >>
7122: word: stream
skipping to endstream
7404: word: endstream
7414: word: endobj
7422: integer: 44
7425: integer: 0
7427: word: obj
7431: integer: 275
7435: word: endobj
7494: integer: 45
7497: integer: 0
7499: word: obj
7503: dict_open: <<
7508: name: /Length
7516: integer: 46
7519: integer: 0
7521: word: R
7523: dict_close: >>
7526: word: stream
skipping to endstream
7601: word: endstream
7611: word: endobj
7619: integer: 46
7622: integer: 0
7624: word: obj
7628: integer: 68
7631: word: endobj
7690: integer: 47
7693: integer: 0
7695: word: obj
7699: dict_open: <<
7704: name: /Length
7712: integer: 48
7715: integer: 0
7717: word: R
7719: dict_close: >>
7722: word: stream
skipping to endstream
7773: word: endstream
7783: word: endobj
7791: integer: 48
7794: integer: 0
7796: word: obj
7800: integer: 44
7803: word: endobj
7862: integer: 49
7865: integer: 0
7867: word: obj
7871: dict_open: <<
7876: name: /Length
7884: integer: 50
7887: integer: 0
